transaction_id,timestamp,merchant_id,user_id,device_id,ip_id,payment_instrument_id,amount,currency,payment_method,status,is_fraud,fraud_campaign_id,scenario
TXN_000001,2026-08-08T19:43:27,MERCH_001,USER_0030,DEV_0211,IP_0674,PI_1691,13444.03,INR,netbanking,success,False,,legitimate
TXN_000002,2026-08-13T11:49:15,MERCH_001,USER_1940,DEV_0545,IP_1488,PI_2443,4162.55,INR,card,success,True,BURST_5084,coordinated_burst
TXN_000003,2026-08-06T17:03:43,MERCH_001,USER_0319,DEV_0234,IP_1366,PI_1988,14694.27,INR,upi,success,False,,legitimate
TXN_000004,2026-08-06T06:58:43,MERCH_001,USER_1078,DEV_0547,IP_0251,PI_1875,609.6,INR,upi,success,False,,legitimate
TXN_000005,2026-08-04T19:51:22,MERCH_001,USER_1067,DEV_0470,IP_1482,PI_1602,5522.9,INR,card,success,False,,legitimate
TXN_000006,2026-08-19T12:47:37,MERCH_001,USER_0947,DEV_0630,IP_0281,PI_0817,17341.99,INR,card,success,False,,legitimate
TXN_000007,2026-08-20T04:44:09,MERCH_001,USER_1592,DEV_0145,IP_0129,PI_1876,67770.45,INR,netbanking,success,False,,legitimate
TXN_000008,2026-08-29T16:35:16,MERCH_001,USER_0131,DEV_0918,IP_0100,PI_0576,18087.47,INR,upi,success,False,,legitimate
TXN_000009,2026-08-18T02:20:14,MERCH_001,USER_1908,DEV_0357,IP_0872,PI_1776,1182.2,INR,upi,success,False,,legitimate
TXN_000010,2026-08-02T02:44:06,MERCH_001,USER_0179,DEV_0536,IP_0008,PI_0952,12133.41,INR,card,success,True,FARM_2944,account_farm
TXN_000011,2026-08-13T22:53:33,MERCH_001,USER_0982,DEV_0875,IP_0792,PI_0924,549.59,INR,card,success,False,,legitimate
TXN_000012,2026-08-11T17:01:52,MERCH_001,USER_0495,DEV_0466,IP_0265,PI_2003,41881.03,INR,upi,success,False,,legitimate
TXN_000013,2026-08-25T04:57:15,MERCH_001,USER_0020,DEV_0141,IP_0879,PI_0149,36895.05,INR,upi,success,False,,legitimate
TXN_000014,2026-08-12T03:58:21,MERCH_001,USER_0477,DEV_0340,IP_0510,PI_0853,36121.61,INR,netbanking,success,False,,legitimate
TXN_000015,2026-08-28T02:01:34,MERCH_001,USER_0841,DEV_0888,IP_1053,PI_0509,4973.02,INR,upi,success,False,,legitimate
TXN_000016,2026-08-07T23:26:34,MERCH_001,USER_1430,DEV_0011,IP_0197,PI_2189,10595.21,INR,netbanking,success,False,,legitimate
TXN_000017,2026-08-12T02:22:59,MERCH_001,USER_0111,DEV_0778,IP_0028,PI_1207,5887.39,INR,card,success,False,,legitimate
TXN_000018,2026-08-20T11:23:01,MERCH_001,USER_1977,DEV_0840,IP_1374,PI_0485,11173.46,INR,upi,success,False,,legitimate
TXN_000019,2026-08-17T23:07:42,MERCH_001,USER_1256,DEV_0793,IP_1158,PI_1979,760.29,INR,card,success,False,,legitimate
TXN_000020,2026-08-05T22:09:38,MERCH_001,USER_1814,DEV_0860,IP_1391,PI_1988,4967.38,INR,card,success,True,BURST_5172,coordinated_burst
TXN_000021,2026-08-09T14:07:33,MERCH_001,USER_1326,DEV_0283,IP_0111,PI_1539,819.93,INR,card,success,False,,legitimate
TXN_000022,2026-08-10T05:13:00,MERCH_001,USER_0889,DEV_0224,IP_0223,PI_0004,3023.37,INR,upi,refunded,False,,legitimate
TXN_000023,2026-08-02T14:54:08,MERCH_001,USER_1812,DEV_0685,IP_0692,PI_1162,12564.4,INR,card,success,False,,legitimate
TXN_000024,2026-08-23T12:50:34,MERCH_001,USER_1228,DEV_0597,IP_1278,PI_0044,815.65,INR,card,success,False,,legitimate
TXN_000025,2026-08-03T03:53:02,MERCH_001,USER_0856,DEV_0993,IP_0763,PI_0380,216.09,INR,card,success,False,,legitimate
TXN_000026,2026-08-20T18:19:39,MERCH_001,USER_0518,DEV_0627,IP_1470,PI_0812,4152.45,INR,card,success,False,,legitimate
