transaction_id,timestamp,merchant_id,user_id,device_id,ip_id,payment_instrument_id,amount,currency,payment_method,status,is_fraud,fraud_campaign_id,scenario
TXN_000001,2026-08-29T18:46:31,MERCH_001,USER_2182,DEV_0875,IP_0046,PI_2877,934.24,INR,card,failed,False,,legitimate_shared_office
TXN_000002,2026-08-07T16:56:12,MERCH_001,USER_1538,DEV_1167,IP_1452,PI_2236,10962.47,INR,upi,success,False,,legitimate
TXN_000003,2026-08-14T16:15:30,MERCH_001,USER_0023,DEV_0162,IP_1692,PI_0423,794.83,INR,upi,success,False,,legitimate
TXN_000004,2026-08-02T06:58:30,MERCH_001,USER_1932,DEV_0325,IP_0600,PI_2000,1278.92,INR,netbanking,success,False,,legitimate
TXN_000005,2026-08-20T05:39:16,MERCH_001,USER_1331,DEV_0918,IP_1443,PI_0526,1041.52,INR,card,success,False,,legitimate
TXN_000006,2026-08-08T13:26:03,MERCH_001,USER_1132,DEV_0725,IP_1652,PI_2494,671.55,INR,netbanking,failed,False,,legitimate
TXN_000007,2026-08-13T11:21:42,MERCH_001,USER_0124,DEV_0869,IP_1131,PI_2506,352.28,INR,card,success,False,,legitimate
TXN_000008,2026-08-21T12:46:18,MERCH_001,USER_0807,DEV_0850,IP_0934,PI_0968,864.63,INR,upi,success,False,,legitimate
TXN_000009,2026-08-08T03:20:38,MERCH_001,USER_1407,DEV_0250,IP_0759,PI_2119,826.1,INR,wallet,success,False,,legitimate
TXN_000010,2026-08-25T19:28:11,MERCH_001,USER_0994,DEV_0507,IP_0292,PI_0249,4729.3,INR,card,success,True,HARD_MIXEDE_5872,mixed_entity_campaign
TXN_000011,2026-08-06T13:52:51,MERCH_001,USER_0452,DEV_0765,IP_0063,PI_2833,1629.94,INR,card,success,False,,legitimate
TXN_000012,2026-08-21T05:12:24,MERCH_001,USER_1482,DEV_0775,IP_0786,PI_2547,853.42,INR,netbanking,failed,False,,legitimate
TXN_000013,2026-08-26T08:24:10,MERCH_001,USER_1430,DEV_0411,IP_1322,PI_1386,312.25,INR,card,success,False,,legitimate
TXN_000014,2026-08-06T05:09:12,MERCH_001,USER_1148,DEV_0837,IP_0641,PI_2013,14967.71,INR,netbanking,success,False,,legitimate
TXN_000015,2026-08-16T13:35:18,MERCH_001,USER_1933,DEV_0693,IP_1164,PI_0846,3048.8,INR,upi,failed,True,HARD_MIXEDE_3873,mixed_entity_campaign
TXN_000016,2026-08-12T12:20:43,MERCH_001,USER_1146,DEV_0823,IP_0065,PI_1261,480.9,INR,netbanking,success,False,,legitimate
TXN_000017,2026-08-24T23:01:54,MERCH_001,USER_1792,DEV_0545,IP_1049,PI_2832,702.05,INR,upi,success,True,HARD_LOWSIG_9625,low_signal_payment_abuse
TXN_000018,2026-08-10T07:20:20,MERCH_001,USER_1512,DEV_0985,IP_1047,PI_2506,2391.89,INR,netbanking,success,False,,legitimate
TXN_000019,2026-08-09T02:53:19,MERCH_001,USER_1885,DEV_1196,IP_1250,PI_0219,19363.08,INR,upi,success,False,,legitimate
TXN_000020,2026-08-14T17:15:51,MERCH_001,USER_0218,DEV_0327,IP_0713,PI_0452,8177.01,INR,netbanking,success,True,HARD_SLOWCO_2389,slow_coordinated_campaign
